,symbol,metric,value
0,MMM,Previous Close,100.66 
1,MMM,Open,100.10 
2,MMM,Bid,100.18 x 900
3,MMM,Ask,100.21 x 1100
4,MMM,Day's Range,99.22 - 100.47 
5,MMM,52 Week Range,71.36 - 106.04 
6,MMM,Volume,"538,042 "
7,MMM,Avg. Volume,"6,145,710 "
8,MMM,Market Cap (intraday),55.574B 
9,MMM,Beta (5Y Monthly),1.01
10,MMM,PE Ratio (TTM),-- 
11,MMM,EPS (TTM),-12.73 
12,MMM,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
13,MMM,Forward Dividend & Yield,2.80 (2.78%)
14,MMM,Ex-Dividend Date,"May 23, 2024"
15,MMM,1y Target Est,99.56 
16,AOS,Previous Close,84.78 
17,AOS,Open,84.69 
18,AOS,Bid,82.64 x 800
19,AOS,Ask,82.69 x 1100
20,AOS,Day's Range,82.61 - 84.82 
21,AOS,52 Week Range,63.88 - 89.96 
22,AOS,Volume,"381,416 "
23,AOS,Avg. Volume,"935,985 "
24,AOS,Market Cap (intraday),12.133B 
25,AOS,Beta (5Y Monthly),1.26
26,AOS,PE Ratio (TTM),21.49 
27,AOS,EPS (TTM),3.85 
28,AOS,Earnings Date,"Jul 25, 2024 - Aug 1, 2024"
29,AOS,Forward Dividend & Yield,1.28 (1.51%)
30,AOS,Ex-Dividend Date,"Apr 29, 2024"
31,AOS,1y Target Est,88.23 
32,ABT,Previous Close,107.49 
33,ABT,Open,107.32 
34,ABT,Bid,106.13 x 800
35,ABT,Ask,106.25 x 900
36,ABT,Day's Range,105.54 - 107.32 
37,ABT,52 Week Range,89.67 - 121.64 
38,ABT,Volume,"1,173,420 "
39,ABT,Avg. Volume,"6,138,938 "
40,ABT,Market Cap (intraday),184.227B 
41,ABT,Beta (5Y Monthly),0.74
42,ABT,PE Ratio (TTM),32.99 
43,ABT,EPS (TTM),3.21 
44,ABT,Earnings Date,"Jul 18, 2024 - Jul 22, 2024"
45,ABT,Forward Dividend & Yield,2.20 (2.05%)
46,ABT,Ex-Dividend Date,"Apr 12, 2024"
47,ABT,1y Target Est,125.68 
48,ABBV,Previous Close,169.42 
49,ABBV,Open,169.00 
50,ABBV,Bid,169.83 x 800
51,ABBV,Ask,--
52,ABBV,Day's Range,167.69 - 170.75 
53,ABBV,52 Week Range,130.96 - 182.89 
54,ABBV,Volume,"4,247,284 "
55,ABBV,Avg. Volume,"5,679,895 "
56,ABBV,Market Cap (intraday),301.01B 
57,ABBV,Beta (5Y Monthly),0.58
58,ABBV,PE Ratio (TTM),50.73 
59,ABBV,EPS (TTM),3.36 
60,ABBV,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
61,ABBV,Forward Dividend & Yield,6.20 (3.64%)
62,ABBV,Ex-Dividend Date,"Apr 12, 2024"
63,ABBV,1y Target Est,183.88 
64,ACN,Previous Close,291.74 
65,ACN,Open,291.44 
66,ACN,Bid,283.80 x 800
67,ACN,Ask,291.60 x 800
68,ACN,Day's Range,288.15 - 291.81 
69,ACN,52 Week Range,278.69 - 387.51 
70,ACN,Volume,"2,626,722 "
71,ACN,Avg. Volume,"3,124,220 "
72,ACN,Market Cap (intraday),181.325B 
73,ACN,Beta (5Y Monthly),1.21
74,ACN,PE Ratio (TTM),26.17 
75,ACN,EPS (TTM),11.02 
76,ACN,Earnings Date,"Mar 21, 2024"
77,ACN,Forward Dividend & Yield,5.16 (1.79%)
78,ACN,Ex-Dividend Date,"Apr 10, 2024"
79,ACN,1y Target Est,370.76 
